baseline,horizon_frames,schedule_id,M0,M1,M2,M3,M4,macro_M0-M4,n_observed
nearest_anchor,132,rand1,0.2406525386931566,0.2751575798696281,0.2738129180527478,0.2556714354524465,0.2717493726780489,0.2634087689492056,3
nearest_anchor,132,rand3,0.2406525386931566,0.2751575798696281,0.2738129180527478,0.2556714354524465,0.2717493726780489,0.2634087689492056,5
nearest_anchor_rc,33,s1,0.6093985556749429,0.6518288579322387,0.5605426382657593,0.5695471321578652,0.5217265514171581,0.5826087470895928,34
nearest_anchor_rc,33,s2,0.6093985556749429,0.6518288579322387,0.5605426382657593,0.5695471321578652,0.5217265514171581,0.5826087470895928,18
nearest_anchor_rc,33,s4,0.6093985556749429,0.6518288579322387,0.5605426382657593,0.5695471321578652,0.5217265514171581,0.5826087470895928,10
nearest_anchor_rc,33,s8,0.6093985556749429,0.6518288579322387,0.5605426382657593,0.5695471321578652,0.5217265514171581,0.5826087470895928,6
nearest_anchor_rc,33,s16,0.6093985556749429,0.6518288579322387,0.5605426382657593,0.5695471321578652,0.5217265514171581,0.5826087470895928,4
nearest_anchor_rc,33,s32,0.6093985556749429,0.6518288579322387,0.5605426382657593,0.5695471321578652,0.5217265514171581,0.5826087470895928,3
nearest_anchor_rc,33,ends,0.6093985556749429,0.6518288579322387,0.5605426382657593,0.5695471321578652,0.5217265514171581,0.5826087470895928,2
nearest_anchor_rc,33,rand1,0.6093985556749429,0.6518288579322387,0.5605426382657593,0.5695471321578652,0.5217265514171581,0.5826087470895928,3
nearest_anchor_rc,33,rand3,0.6093985556749429,0.6518288579322387,0.5605426382657593,0.5695471321578652,0.5217265514171581,0.5826087470895928,5
nearest_anchor_rc,66,s1,0.4836480665670875,0.5123556878439176,0.46496876343206467,0.44371114155168456,0.4790940371091276,0.4767555393007764,67
nearest_anchor_rc,66,s2,0.4836480665670875,0.5123556878439176,0.46496876343206467,0.44371114155168456,0.4790940371091276,0.4767555393007764,34
nearest_anchor_rc,66,s4,0.4836480665670875,0.5123556878439176,0.46496876343206467,0.44371114155168456,0.4790940371091276,0.4767555393007764,18
nearest_anchor_rc,66,s8,0.4836480665670875,0.5123556878439176,0.46496876343206467,0.44371114155168456,0.4790940371091276,0.4767555393007764,10
nearest_anchor_rc,66,s16,0.4836480665670875,0.5123556878439176,0.46496876343206467,0.44371114155168456,0.4790940371091276,0.4767555393007764,6
nearest_anchor_rc,66,s32,0.4836480665670875,0.5123556878439176,0.46496876343206467,0.44371114155168456,0.4790940371091276,0.4767555393007764,4
nearest_anchor_rc,66,s64,0.4836480665670875,0.5123556878439176,0.46496876343206467,0.44371114155168456,0.4790940371091276,0.4767555393007764,3
nearest_anchor_rc,66,ends,0.4836480665670875,0.5123556878439176,0.46496876343206467,0.44371114155168456,0.4790940371091276,0.4767555393007764,2
nearest_anchor_rc,66,rand1,0.4836480665670875,0.5123556878439176,0.46496876343206467,0.44371114155168456,0.4790940371091276,0.4767555393007764,3
nearest_anchor_rc,66,rand3,0.4836480665670875,0.5123556878439176,0.46496876343206467,0.44371114155168456,0.4790940371091276,0.4767555393007764,5
nearest_anchor_rc,132,s1,0.3557690654201119,0.38404967670174067,0.3710254119093801,0.3400410257368044,0.3559206445001845,0.3613611648536443,133
nearest_anchor_rc,132,s2,0.3557690654201119,0.38404967670174067,0.3710254119093801,0.3400410257368044,0.3559206445001845,0.3613611648536443,67
nearest_anchor_rc,132,s4,0.3557690654201119,0.38404967670174067,0.3710254119093801,0.3400410257368044,0.3559206445001845,0.3613611648536443,34
nearest_anchor_rc,132,s8,0.3557690654201119,0.38404967670174067,0.3710254119093801,0.3400410257368044,0.3559206445001845,0.3613611648536443,18
nearest_anchor_rc,132,s16,0.3557690654201119,0.38404967670174067,0.3710254119093801,0.3400410257368044,0.3559206445001845,0.3613611648536443,10
nearest_anchor_rc,132,s32,0.3557690654201119,0.38404967670174067,0.3710254119093801,0.3400410257368044,0.3559206445001845,0.3613611648536443,6
nearest_anchor_rc,132,s64,0.3557690654201119,0.38404967670174067,0.3710254119093801,0.3400410257368044,0.3559206445001845,0.3613611648536443,4
nearest_anchor_rc,132,s128,0.3557690654201119,0.38404967670174067,0.3710254119093801,0.3400410257368044,0.3559206445001845,0.3613611648536443,3
nearest_anchor_rc,132,ends,0.3557690654201119,0.38404967670174067,0.3710254119093801,0.3400410257368044,0.3559206445001845,0.3613611648536443,2
nearest_anchor_rc,132,rand1,0.3557690654201119,0.38404967670174067,0.3710254119093801,0.3400410257368044,0.3559206445001845,0.3613611648536443,3
nearest_anchor_rc,132,rand3,0.3557690654201119,0.38404967670174067,0.3710254119093801,0.3400410257368044,0.3559206445001845,0.3613611648536443,5
